epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.4432,2.5066,8.28331,2.33857,0,0,0,0,0,13.9574,0,2.499e-05,2.499e-05,2.499e-05
2,2.82064,1.4487,12.1142,1.38634,0,0,0,0,0,13.9673,0,5.77327e-05,5.77327e-05,5.77327e-05
3,4.24728,2.93747,8.90112,2.29637,0,0,0,0,0,13.9673,0,8.98157e-05,8.98157e-05,8.98157e-05
4,5.67494,1.6008,11.6613,1.36695,0,0,0,0,0,13.9673,0,0.000121239,0.000121239,0.000121239
5,7.08663,0.8456,14.8995,0.78729,0,0,0,0,0,13.9673,0,0.000152003,0.000152003,0.000152003
6,8.51114,0.6693,14.7377,0.56702,0,0,0,0,0,14.0049,0,0.000182106,0.000182106,0.000182106
7,9.77744,0.90201,14.736,0.76877,0,0,0,0,0,14.0049,0,0.00021155,0.00021155,0.00021155
8,11.0491,0.68796,14.7577,0.71285,0,0,0,0,0,14.0049,0,0.000240335,0.000240335,0.000240335
9,12.3843,2.8212,10.2251,2.23513,0,0,0,0,0,14.0049,0,0.000268459,0.000268459,0.000268459
10,13.6691,0.94734,15.7481,0.68873,0,0,0,0,0,14.0049,0,0.000295924,0.000295924,0.000295924
11,14.9302,0,17.8346,0,0,0,0,0,0,14.0049,0,0.000322729,0.000322729,0.000322729
12,16.2566,1.68408,11.7702,1.35775,0,0,0,0,0,14.0049,0,0.000348875,0.000348875,0.000348875
13,17.6677,0.79649,14.6844,0.71175,0,0,0,0,0,14.0049,0,0.00037436,0.00037436,0.00037436
14,18.9953,1.68328,12.3593,1.32654,0,0,0,0,0,14.0049,0,0.000399186,0.000399186,0.000399186
15,20.3425,0.72793,14.663,0.65273,0,0,0,0,0,14.1421,0,0.000423352,0.000423352,0.000423352
16,21.6369,0,17.5641,0,0,0,0,0,0,14.1421,0,0.000446859,0.000446859,0.000446859
17,23.0094,1.43055,11.4809,1.21167,0,0,0,0,0,14.1421,0,0.000469705,0.000469705,0.000469705
18,24.3159,0.57219,14.8001,0.49719,0,0,0,0,0,14.1421,0,0.000491892,0.000491892,0.000491892
19,25.8155,2.59396,9.48151,1.87087,0,0,0,0,0,14.1421,0,0.00051342,0.00051342,0.00051342
20,27.3557,1.44713,11.5267,1.2431,0,0,0,0,0,14.1421,0,0.000534287,0.000534287,0.000534287
21,28.8931,2.45741,8.52127,1.77551,0,0,0,0,0,14.1421,0,0.000554495,0.000554495,0.000554495
