epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.505948,3.53504,5.05402,2.65904,0,0,0,0,3.49352,5.37758,3.09473,0,0,0
2,0.991596,3.64698,5.15886,3.19606,0,0,0,0,3.49352,5.37758,3.09473,8.24753e-06,8.24753e-06,8.24753e-06
3,1.48669,3.87177,5.05742,2.87486,0,0,0,0,3.57054,5.3999,3.16807,1.63301e-05,1.63301e-05,1.63301e-05
4,2.00738,3.5789,4.98306,2.97411,0,0,0,0,3.57054,5.3999,3.16807,2.42478e-05,2.42478e-05,2.42478e-05
5,2.51534,3.70148,5.37716,3.1467,0,0,0,0,3.57054,5.3999,3.16807,3.20005e-05,3.20005e-05,3.20005e-05
6,3.0235,4.30608,5.2455,2.91148,0,0,0,0,3.57054,5.3999,3.16807,3.95883e-05,3.95883e-05,3.95883e-05
7,3.5326,3.64103,5.28152,2.50979,0,0,0,0,3.57054,5.3999,3.16807,4.70112e-05,4.70112e-05,4.70112e-05
8,4.04502,3.51689,5.13396,2.60919,0,0,0,0,3.56704,5.40262,3.18327,5.42691e-05,5.42691e-05,5.42691e-05
9,4.51885,3.84748,5.2922,2.50457,0,0,0,0,3.56704,5.40262,3.18327,6.13621e-05,6.13621e-05,6.13621e-05
10,4.99263,3.44501,5.28946,2.96072,0,0,0,0,3.56704,5.40262,3.18327,6.82902e-05,6.82902e-05,6.82902e-05
11,5.46036,4.06817,5.68453,3.58661,0,0,0,0,3.56704,5.40262,3.18327,7.50533e-05,7.50533e-05,7.50533e-05
12,5.92519,3.37715,5.18247,3.13791,0,0,0,0,3.56704,5.40262,3.18327,8.16515e-05,8.16515e-05,8.16515e-05
13,6.39979,3.24761,4.80431,2.97171,0,0,0,0,3.56704,5.40262,3.18327,8.80848e-05,8.80848e-05,8.80848e-05
14,6.86726,3.531,4.88792,3.17265,0,0,0,0,3.56704,5.40262,3.18327,9.43531e-05,9.43531e-05,9.43531e-05
15,7.34266,3.20332,4.92363,2.71636,0,0,0,0,3.56704,5.40262,3.18327,0.000100456,0.000100456,0.000100456
16,7.84319,3.66747,5.29191,3.192,0,0,0,0,3.56704,5.40262,3.18327,0.000106395,0.000106395,0.000106395
17,8.32795,3.49821,4.80209,2.78099,0,0,0,0,3.56704,5.40262,3.18327,0.000112168,0.000112168,0.000112168
18,8.82826,3.2407,5.00185,2.98319,0,0,0,0,3.56704,5.40262,3.18327,0.000117777,0.000117777,0.000117777
19,9.30105,3.61963,4.85568,3.03452,0,0,0,0,3.56704,5.40262,3.18327,0.000123221,0.000123221,0.000123221
20,9.77723,3.39209,5.18725,3.18183,0,0,0,0,3.56704,5.40262,3.18327,0.000128499,0.000128499,0.000128499
21,10.3321,3.82723,5.16989,3.05183,0,0,0,0,3.56704,5.40262,3.18327,0.000133613,0.000133613,0.000133613
22,10.8671,3.54462,4.955,2.50302,0,0,0,0,3.40768,5.30306,3.04163,0.000138562,0.000138562,0.000138562
23,11.3413,2.76075,6.45757,2.26007,0,0,0,0,3.40768,5.30306,3.04163,0.000143346,0.000143346,0.000143346
24,11.8461,3.31281,5.189,2.80341,0,0,0,0,3.40768,5.30306,3.04163,0.000147965,0.000147965,0.000147965
25,12.3121,3.34681,5.07185,3.25413,0,0,0,0,3.40768,5.30306,3.04163,0.000152419,0.000152419,0.000152419
26,12.7761,3.59027,5.05068,2.45248,0,0,0,0,3.40768,5.30306,3.04163,0.000156708,0.000156708,0.000156708
27,13.2537,3.50076,5.23847,3.09939,0,0,0,0,3.40768,5.30306,3.04163,0.000160832,0.000160832,0.000160832
28,13.7286,3.30303,5.05935,2.76263,0,0,0,0,3.40768,5.30306,3.04163,0.000164792,0.000164792,0.000164792
29,14.1932,3.36022,5.00168,2.55859,0,0,0,0,3.40768,5.30306,3.04163,0.000168586,0.000168586,0.000168586
30,14.66,2.8468,5.01269,2.61148,0,0,0,0,3.40768,5.30306,3.04163,0.000172215,0.000172215,0.000172215
31,15.1479,3.1596,4.68655,2.82532,0,0,0,0,3.40768,5.30306,3.04163,0.00017568,0.00017568,0.00017568
32,15.6368,3.23824,5.3729,2.81294,0,0,0,0,3.40768,5.30306,3.04163,0.000178979,0.000178979,0.000178979
33,16.1156,3.123,5.0641,2.95745,0,0,0,0,3.40768,5.30306,3.04163,0.000182114,0.000182114,0.000182114
34,16.5901,3.09168,4.8436,2.50549,0,0,0,0,3.40768,5.30306,3.04163,0.000185083,0.000185083,0.000185083
35,17.0673,2.99568,4.8119,2.69238,0,0,0,0,3.40768,5.30306,3.04163,0.000187888,0.000187888,0.000187888
36,17.5494,2.44858,6.38715,2.31456,0,0,0,0,3.40768,5.30306,3.04163,0.000190528,0.000190528,0.000190528
37,18.0405,3.40092,4.87607,2.66209,0,0,0,0,3.40768,5.30306,3.04163,0.000193003,0.000193003,0.000193003
38,18.5328,3.55145,7.72157,2.89994,0,0,0,0,3.40768,5.30306,3.04163,0.000195313,0.000195313,0.000195313
39,19.0303,2.92539,5.89144,2.40547,0,0,0,0,3.40768,5.30306,3.04163,0.000197458,0.000197458,0.000197458
40,19.5872,3.47481,4.9977,2.91253,0,0,0,0,3.40768,5.30306,3.04163,0.000199438,0.000199438,0.000199438
41,20.0995,3.47032,4.93342,2.69162,0,0,0,0,3.40768,5.30306,3.04163,0.000201253,0.000201253,0.000201253
42,20.6003,3.01665,4.95904,2.64255,0,0,0,0,3.40768,5.30306,3.04163,0.000202903,0.000202903,0.000202903
43,21.0928,3.15947,5.40312,3.00058,0,0,0,0,3.40768,5.30306,3.04163,0.000204388,0.000204388,0.000204388
44,21.6301,2.95275,5.20814,2.4593,0,0,0,0,3.40768,5.30306,3.04163,0.000205709,0.000205709,0.000205709
45,22.1366,3.22941,4.73183,2.72099,0,0,0,0,3.40768,5.30306,3.04163,0.000206864,0.000206864,0.000206864
46,22.6239,2.70995,5.35358,2.72847,0,0,0,0,3.40768,5.30306,3.04163,0.000207854,0.000207854,0.000207854
47,23.1158,3.33988,5.28016,2.31192,0,0,0,0,3.40768,5.30306,3.04163,0.00020868,0.00020868,0.00020868
48,23.609,2.76567,4.99523,2.50637,0,0,0,0,3.40768,5.30306,3.04163,0.00020934,0.00020934,0.00020934
49,24.0979,3.41435,5.26932,2.99707,0,0,0,0,3.40768,5.30306,3.04163,0.000209836,0.000209836,0.000209836
50,24.5757,3.30972,5.10455,2.97694,0,0,0,0,3.40768,5.30306,3.04163,0.000210167,0.000210167,0.000210167
51,25.0599,3.14262,4.7866,2.51574,0,0,0,0,3.40768,5.30306,3.04163,0.000210332,0.000210332,0.000210332
52,25.546,3.0579,5.42903,2.80762,0,0,0,0,3.40768,5.30306,3.04163,0.000210333,0.000210333,0.000210333
53,26.0273,3.35517,4.84212,2.74174,0,0,0,0,3.40768,5.30306,3.04163,0.000210169,0.000210169,0.000210169
