epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.4081,1.96668,4.56952,1.90777,0,0,0,0,1.64041,4.47738,1.8544,0.00015,0.00015,0.00015
2,10.662,1.20705,4.21611,1.33893,0,0,0,0,0.86279,4.12288,1.15496,0.000306931,0.000306931,0.000306931
3,15.9625,0.95759,3.9901,1.13271,0,0,0,0,0.86279,4.12288,1.15496,0.000460694,0.000460694,0.000460694
4,21.6984,0.81081,3.88864,1.05122,0.01022,0.41667,0.17059,0.13253,0.88678,3.72977,1.02288,0.000611289,0.000611289,0.000611289
5,27.0721,0.76029,3.51649,0.94955,0.01022,0.41667,0.17059,0.13253,0.88678,3.72977,1.02288,0.000758716,0.000758716,0.000758716
6,32.5031,0.80466,3.56551,0.96843,0.01022,0.41667,0.17059,0.13253,0.88678,3.72977,1.02288,0.000902975,0.000902975,0.000902975
7,38.1615,0.75487,3.57645,0.97132,0.01022,0.41667,0.17059,0.13253,0.88678,3.72977,1.02288,0.0009406,0.0009406,0.0009406
8,43.6758,0.76662,3.28254,0.96238,0.5034,0.72118,0.59279,0.49825,0.7759,2.46446,0.99364,0.0009307,0.0009307,0.0009307
9,49.119,0.94714,2.83836,0.97219,0.5034,0.72118,0.59279,0.49825,0.7759,2.46446,0.99364,0.0009208,0.0009208,0.0009208
10,54.557,0.98208,2.74617,1.01982,0.5034,0.72118,0.59279,0.49825,0.7759,2.46446,0.99364,0.0009109,0.0009109,0.0009109
11,60.0677,0.86844,2.7709,0.9584,0.5034,0.72118,0.59279,0.49825,0.7759,2.46446,0.99364,0.000901,0.000901,0.000901
12,65.7538,0.91177,2.66323,1.0051,0.53992,0.75,0.79572,0.51157,1.31031,5.82041,1.30512,0.0008911,0.0008911,0.0008911
13,71.2223,1.0275,2.5034,1.01639,0.53992,0.75,0.79572,0.51157,1.31031,5.82041,1.30512,0.0008812,0.0008812,0.0008812
14,76.745,1.02839,2.42123,1.02268,0.53992,0.75,0.79572,0.51157,1.31031,5.82041,1.30512,0.0008713,0.0008713,0.0008713
15,82.2539,0.95442,2.48715,0.99239,0.53992,0.75,0.79572,0.51157,1.31031,5.82041,1.30512,0.0008614,0.0008614,0.0008614
16,87.5587,1.01082,2.36094,1.00912,0.75228,0.72779,0.87028,0.65319,1.03491,2.97347,1.08863,0.0008515,0.0008515,0.0008515
