epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.83682,1.96395,4.56771,1.90521,0,0,0,0,1.64041,4.47738,1.8544,0.00015,0.00015,0.00015
2,11.569,1.20989,4.21478,1.34013,0,0,0,0,0.86084,4.12295,1.1548,0.000306931,0.000306931,0.000306931
3,16.808,0.96157,3.98863,1.13172,0,0,0,0,0.86084,4.12295,1.1548,0.000460694,0.000460694,0.000460694
4,22.9471,0.80773,3.89136,1.05376,0.01215,0.5,0.15013,0.12287,0.87897,3.74267,1.03614,0.000611289,0.000611289,0.000611289
5,28.226,0.75012,3.51237,0.94791,0.01215,0.5,0.15013,0.12287,0.87897,3.74267,1.03614,0.000758716,0.000758716,0.000758716
6,34.7564,0.79477,3.55757,0.96068,0.01215,0.5,0.15013,0.12287,0.87897,3.74267,1.03614,0.000902975,0.000902975,0.000902975
7,40.2758,0.76174,3.57675,0.97454,0.01215,0.5,0.15013,0.12287,0.87897,3.74267,1.03614,0.0009406,0.0009406,0.0009406
8,46.5984,0.77411,3.27858,0.95931,0.83458,0.41667,0.57477,0.48455,0.73125,2.48852,0.98389,0.0009307,0.0009307,0.0009307
9,53.1897,0.92258,2.81748,0.96683,0.83458,0.41667,0.57477,0.48455,0.73125,2.48852,0.98389,0.0009208,0.0009208,0.0009208
10,59.2214,0.96453,2.73873,1.01108,0.83458,0.41667,0.57477,0.48455,0.73125,2.48852,0.98389,0.0009109,0.0009109,0.0009109
11,65.2355,0.8401,2.77325,0.94213,0.83458,0.41667,0.57477,0.48455,0.73125,2.48852,0.98389,0.000901,0.000901,0.000901
12,71.5008,0.87616,2.666,0.9888,0.54581,0.75,0.78629,0.5075,1.41548,7.66354,1.41268,0.0008911,0.0008911,0.0008911
13,77.194,1.04785,2.53179,1.04628,0.54581,0.75,0.78629,0.5075,1.41548,7.66354,1.41268,0.0008812,0.0008812,0.0008812
14,83.105,1.04317,2.45227,1.04573,0.54581,0.75,0.78629,0.5075,1.41548,7.66354,1.41268,0.0008713,0.0008713,0.0008713
15,88.6168,0.95188,2.51125,1.00926,0.54581,0.75,0.78629,0.5075,1.41548,7.66354,1.41268,0.0008614,0.0008614,0.0008614
16,94.757,1.03656,2.38254,1.02817,0.67058,0.7826,0.88417,0.62293,1.10341,3.62532,1.14015,0.0008515,0.0008515,0.0008515
17,100.82,0.90011,1.99657,0.95863,0.67058,0.7826,0.88417,0.62293,1.10341,3.62532,1.14015,0.0008416,0.0008416,0.0008416
18,107.05,0.8248,1.9527,0.94494,0.67058,0.7826,0.88417,0.62293,1.10341,3.62532,1.14015,0.0008317,0.0008317,0.0008317
19,112.799,0.80312,1.94946,0.92723,0.67058,0.7826,0.88417,0.62293,1.10341,3.62532,1.14015,0.0008218,0.0008218,0.0008218
20,118.23,0.8649,1.96189,0.9918,0.78345,0.97909,0.995,0.81242,0.82893,2.03541,1.01728,0.0008119,0.0008119,0.0008119
21,123.749,0.88133,1.70359,0.95007,0.78345,0.97909,0.995,0.81242,0.82893,2.03541,1.01728,0.000802,0.000802,0.000802
22,129.304,0.89232,1.74757,0.98141,0.78345,0.97909,0.995,0.81242,0.82893,2.03541,1.01728,0.0007921,0.0007921,0.0007921
23,134.742,0.87434,1.71336,0.94162,0.78345,0.97909,0.995,0.81242,0.82893,2.03541,1.01728,0.0007822,0.0007822,0.0007822
24,140.254,0.83572,1.63741,0.94125,0.67056,1,0.995,0.81242,0.73145,1.51674,0.97495,0.0007723,0.0007723,0.0007723
25,146.594,0.77619,1.53508,0.92945,0.67056,1,0.995,0.81242,0.73145,1.51674,0.97495,0.0007624,0.0007624,0.0007624
26,152.231,0.78847,1.58295,0.9326,0.67056,1,0.995,0.81242,0.73145,1.51674,0.97495,0.0007525,0.0007525,0.0007525
27,158.009,0.7301,1.55532,0.87839,0.67056,1,0.995,0.81242,0.73145,1.51674,0.97495,0.0007426,0.0007426,0.0007426
28,164.754,0.77704,1.45625,0.93091,0.91687,1,0.995,0.75846,0.97911,1.30478,1.0238,0.0007327,0.0007327,0.0007327
29,170.966,0.74951,1.33058,0.90511,0.91687,1,0.995,0.75846,0.97911,1.30478,1.0238,0.0007228,0.0007228,0.0007228
30,177.077,0.79681,1.37335,0.90354,0.91687,1,0.995,0.75846,0.97911,1.30478,1.0238,0.0007129,0.0007129,0.0007129
31,182.657,0.80213,1.37874,0.94118,0.91687,1,0.995,0.75846,0.97911,1.30478,1.0238,0.000703,0.000703,0.000703
