epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.45482,2.04869,4.78702,1.99451,0,0,0,0,2.03996,4.6808,2.36337,1e-05,1e-05,1e-05
2,11.3717,1.89948,4.62892,1.88984,0,0,0,0,1.67291,4.58388,1.9735,2.9703e-05,2.9703e-05,2.9703e-05
3,16.0754,1.35491,4.23472,1.47396,0,0,0,0,1.14109,4.29047,1.40544,4.901e-05,4.901e-05,4.901e-05
4,20.6468,0.85018,3.98364,1.07461,0,0,0,0,0.79132,4.13711,1.13149,6.7921e-05,6.7921e-05,6.7921e-05
5,25.3316,0.71551,3.83315,1.00685,0.00278,0.16667,0.09292,0.08414,0.67504,4.05269,1.02811,8.6436e-05,8.6436e-05,8.6436e-05
6,30.0088,0.76358,3.72491,0.97468,0.0106,0.5,0.16895,0.14745,0.62344,3.84608,0.97202,0.000104555,0.000104555,0.000104555
7,35.6616,0.69303,3.59374,0.94133,0.01181,0.58333,0.20393,0.184,0.66415,3.73377,0.94998,0.000122278,0.000122278,0.000122278
8,40.5545,0.60117,3.37402,0.89229,0.0194,0.83333,0.29843,0.25463,0.74469,3.6442,0.94433,0.000139605,0.000139605,0.000139605
9,45.4266,0.6581,3.21268,0.85867,0.02146,0.91667,0.37996,0.31404,0.72936,3.5875,0.94929,0.000156536,0.000156536,0.000156536
10,50.1923,0.59168,2.947,0.86461,0.0243,1,0.48998,0.3894,0.76883,3.5259,0.95526,0.000173071,0.000173071,0.000173071
11,55.2682,0.73699,2.76839,0.90203,0.02436,1,0.49867,0.39939,0.72812,3.41782,0.95201,0.00018921,0.00018921,0.00018921
12,61.0293,0.62241,2.5118,0.89505,0.02436,1,0.49867,0.39939,0.72812,3.41782,0.95201,0.000204953,0.000204953,0.000204953
13,65.9261,0.7049,2.48963,0.90023,0.02384,1,0.5548,0.44724,0.64363,3.22744,0.94898,0.0002203,0.0002203,0.0002203
14,70.652,0.63576,2.24949,0.88047,0.02393,1,0.62385,0.51156,0.65447,3.02814,0.9395,0.000235251,0.000235251,0.000235251
15,75.322,0.69903,2.17209,0.90383,0.02393,1,0.62385,0.51156,0.65447,3.02814,0.9395,0.000249806,0.000249806,0.000249806
16,80.0502,0.6685,2.01398,0.87799,0.92399,0.16667,0.63467,0.51883,0.69583,2.86063,0.92648,0.000263965,0.000263965,0.000263965
17,84.7877,0.62035,1.9195,0.85583,0.91532,0.2907,0.81645,0.62507,0.86673,2.69741,0.93814,0.000277728,0.000277728,0.000277728
18,89.5125,0.63513,1.75722,0.86508,0.91532,0.2907,0.81645,0.62507,0.86673,2.69741,0.93814,0.000291095,0.000291095,0.000291095
19,94.1957,0.5731,1.69144,0.84613,0.92487,0.33333,0.93944,0.71006,0.96,2.58738,0.95311,0.000304066,0.000304066,0.000304066
20,98.8753,0.59416,1.6393,0.88828,0.92487,0.33333,0.93944,0.71006,0.96,2.58738,0.95311,0.000316641,0.000316641,0.000316641
21,103.546,0.65421,1.55304,0.88118,0.89791,0.5,0.945,0.70869,0.92949,2.46936,0.93853,0.00032882,0.00032882,0.00032882
22,108.212,0.57582,1.50693,0.83475,0.89791,0.5,0.945,0.70869,0.92949,2.46936,0.93853,0.000340603,0.000340603,0.000340603
23,112.887,0.60008,1.46562,0.84398,0.86946,0.5,0.995,0.76687,0.87619,2.41268,0.95439,0.00035199,0.00035199,0.00035199
24,117.518,0.62368,1.37642,0.83643,0.86946,0.5,0.995,0.76687,0.87619,2.41268,0.95439,0.000362981,0.000362981,0.000362981
25,122.155,0.60881,1.33569,0.85707,0.9127,0.66667,0.995,0.81654,0.72761,2.25652,0.93772,0.000373576,0.000373576,0.000373576
26,127.024,0.6483,1.27127,0.86607,0.9127,0.66667,0.995,0.81654,0.72761,2.25652,0.93772,0.000383775,0.000383775,0.000383775
27,131.759,0.63437,1.25317,0.83767,0.9127,0.66667,0.995,0.81654,0.72761,2.25652,0.93772,0.000393578,0.000393578,0.000393578
28,136.447,0.62996,1.18139,0.84825,0.89911,0.66667,0.995,0.86225,0.65195,2.0578,0.91921,0.000402985,0.000402985,0.000402985
29,141.096,0.60387,1.15513,0.8331,0.89911,0.66667,0.995,0.86225,0.65195,2.0578,0.91921,0.000411996,0.000411996,0.000411996
30,145.814,0.59613,1.16026,0.83336,0.91178,0.66667,0.995,0.80004,0.8176,1.74715,0.92863,0.000420611,0.000420611,0.000420611
31,150.436,0.62562,1.08632,0.87351,0.91178,0.66667,0.995,0.80004,0.8176,1.74715,0.92863,0.00042883,0.00042883,0.00042883
32,155.056,0.60138,1.09771,0.82934,0.91178,0.66667,0.995,0.80004,0.8176,1.74715,0.92863,0.000436653,0.000436653,0.000436653
33,159.821,0.57737,1.09678,0.84113,0.91638,0.66667,0.995,0.85392,0.67505,1.63098,0.90676,0.00044408,0.00044408,0.00044408
34,164.52,0.55829,1.03876,0.81661,0.91638,0.66667,0.995,0.85392,0.67505,1.63098,0.90676,0.000451111,0.000451111,0.000451111
35,169.146,0.57936,1.0627,0.84892,0.91638,0.66667,0.995,0.85392,0.67505,1.63098,0.90676,0.000457746,0.000457746,0.000457746
36,173.796,0.57877,1.04245,0.82914,0.89158,0.65657,0.995,0.84979,0.62415,1.66752,0.90068,0.000463985,0.000463985,0.000463985
37,178.405,0.57517,1.03777,0.85295,0.89158,0.65657,0.995,0.84979,0.62415,1.66752,0.90068,0.000469828,0.000469828,0.000469828
38,183.043,0.62835,1.06785,0.87154,0.89158,0.65657,0.995,0.84979,0.62415,1.66752,0.90068,0.000475275,0.000475275,0.000475275
39,187.714,0.59326,1.02743,0.86202,0.79464,0.78368,0.995,0.82075,0.69583,1.56657,0.90541,0.000480326,0.000480326,0.000480326
40,192.357,0.57764,1.03729,0.85352,0.79464,0.78368,0.995,0.82075,0.69583,1.56657,0.90541,0.000484981,0.000484981,0.000484981
41,197.08,0.54986,0.97062,0.83757,0.79464,0.78368,0.995,0.82075,0.69583,1.56657,0.90541,0.00048924,0.00048924,0.00048924
42,201.667,0.59052,0.99224,0.85191,0.77322,0.83333,0.995,0.84567,0.61142,1.33182,0.88702,0.000493103,0.000493103,0.000493103
43,206.233,0.53366,0.94361,0.84349,0.77322,0.83333,0.995,0.84567,0.61142,1.33182,0.88702,0.00049657,0.00049657,0.00049657
44,210.926,0.55532,0.97336,0.82963,0.77322,0.83333,0.995,0.84567,0.61142,1.33182,0.88702,0.000499641,0.000499641,0.000499641
45,215.557,0.54419,0.95654,0.83333,0.77322,0.83333,0.995,0.84567,0.61142,1.33182,0.88702,0.000502316,0.000502316,0.000502316
46,220.181,0.5626,0.93651,0.83166,0.76992,1,0.995,0.89946,0.4772,1.14504,0.87438,0.000504595,0.000504595,0.000504595
47,224.931,0.55743,0.92208,0.83344,0.76992,1,0.995,0.89946,0.4772,1.14504,0.87438,0.000506478,0.000506478,0.000506478
48,229.633,0.57683,0.93214,0.83508,0.76992,1,0.995,0.89946,0.4772,1.14504,0.87438,0.000507965,0.000507965,0.000507965
49,234.266,0.56164,0.95535,0.82718,0.76992,1,0.995,0.89946,0.4772,1.14504,0.87438,0.000509056,0.000509056,0.000509056
50,238.915,0.5496,0.93705,0.81142,0.79991,0.9988,0.995,0.91612,0.40044,1.09314,0.87163,0.000509751,0.000509751,0.000509751
51,243.466,0.55909,0.90054,0.82442,0.79991,0.9988,0.995,0.91612,0.40044,1.09314,0.87163,0.000505,0.000505,0.000505
52,248.103,0.58162,0.91719,0.84035,0.79991,0.9988,0.995,0.91612,0.40044,1.09314,0.87163,0.0004951,0.0004951,0.0004951
53,252.688,0.56835,0.90464,0.82923,0.79991,0.9988,0.995,0.91612,0.40044,1.09314,0.87163,0.0004852,0.0004852,0.0004852
54,257.34,0.56285,0.91962,0.86422,0.81349,0.98289,0.995,0.86225,0.61604,1.05202,0.89317,0.0004753,0.0004753,0.0004753
55,261.921,0.54842,0.9161,0.83658,0.81349,0.98289,0.995,0.86225,0.61604,1.05202,0.89317,0.0004654,0.0004654,0.0004654
