image,ground_truth_file,text_to_type
02_Dealer_Code_5.png,02_Dealer_Code_5.gt.txt,
02_Invoice_Date_2.png,02_Invoice_Date_2.gt.txt,
02_Invoice_No_0.png,02_Invoice_No_0.gt.txt,
02_Sale_Order_4.png,02_Sale_Order_4.gt.txt,
02_Vehicle_Code_3.png,02_Vehicle_Code_3.gt.txt,
02_Vender_Code_1.png,02_Vender_Code_1.gt.txt,
05_Dealer_Code_2.png,05_Dealer_Code_2.gt.txt,
05_Invoice_Date_3.png,05_Invoice_Date_3.gt.txt,
05_Invoice_No_0.png,05_Invoice_No_0.gt.txt,
05_Sale_Order_5.png,05_Sale_Order_5.gt.txt,
05_Vehicle_Code_4.png,05_Vehicle_Code_4.gt.txt,
05_Vender_Code_1.png,05_Vender_Code_1.gt.txt,
10_Dealer_Code_5.png,10_Dealer_Code_5.gt.txt,
10_Invoice_Date_3.png,10_Invoice_Date_3.gt.txt,
10_Invoice_No_0.png,10_Invoice_No_0.gt.txt,
10_Sale_Order_4.png,10_Sale_Order_4.gt.txt,
10_Vehicle_Code_2.png,10_Vehicle_Code_2.gt.txt,
10_Vender_Code_1.png,10_Vender_Code_1.gt.txt,
